;Style	D/H	bottomwidth	angle	Manning	Water level	Infiltration
Q20220830092903	3.84	25	64	0.025	0	0
Q20220830093020	3.84	25	64	0.025	0	0
Q20220830093028	3.84	25	64	0.025	0	0
Q20220830092916	3.84	25	64	0.025	0	0
Q20220830092923	3.97	17.5	64	0.025	0	0
Q20220830092940	5	12.5	64	0.025	0	0
Q20220830094401	5	8.75	64	0.025	0	0
Q20220830094255	5	8.75	64	0.025	0	0
Q20220830094325	5	8.75	64	0.025	0	0
Q20220830094332	5	8.75	64	0.025	0	0
Q20220830094318	3.21	5	64	0.025	0	0
Q20220830094910	5	2.5	64	0.025	0	0
Q20220830094608	5	2.5	64	0.025	0	0
Q20220830094615	5	2.5	64	0.025	0	0
Q20220830094700	5	8.75	0	0.025	0	0
Q20231008165717	5	5	0	0.02	0	0
Q20231009091203	5	2.5	0	0.02	0	0
Q20220830094325	5	8.75	64	0.025	0	0
Q20220830094608	5	2.5	64	0.025	0	0
Q20250816163920	3	6	0	0.025	0	0
Q20251016164356	5	25	0	0.025	0	0
Q20251016164408	5	25	0	0.02	0	0
Q20251016164952	5	25	0	0.02	0	0
Q20251016164425	3	6	0	0.02	0	0
Q20251016164601	5	25	0	0.02	0	0
Q20251016164614	5	25	0	0.02	0	0
Q20251016164625	5	25	0	0.02	0	0
Q20251016164654	5	25	0	0.02	0	0
Q20251016164715	5	25	0	0.02	0	0
Q20251016164726	5	25	0	0.02	0	0
Q20251016164743	5	25	0	0.02	0	0
Q20251016164753	5	25	0	0.02	0	0
Q20251016164817	5	5	0	0.02	0	0
Q20251016164552	5	25	0	0.02	0	0
Q20251016164705	5	25	0	0.02	0	0
Q20251016164917	5	5	0	0.02	0	0
Q20251016164923	5	5	0	0.02	0	0
Q20251016164846	5	5	0	0.02	0	0
Q20251016164836	5	5	0	0.02	0	0
Q20251016164859	5	5	0	0.02	0	0
Q20251016164908	5	5	0	0.02	0	0
Q20251016164540	5	25	0	0.02	0	0
Q20251110124539	5	5	0	0.02	0	0
Q20251110124604	5	5	0	0.02	0	0
Q20251110124614	5	5	0	0.02	0	0
Q20251110165954	5	5	0	0.02	0	0
Q20251110170016	5	5	0	0.02	0	0
Q20251110170023	5	5	0	0.02	0	0
Q20251110170039	5	5	0	0.02	0	0
Q20251110170034	5	5	0	0.02	0	0
Q20251110170046	5	5	0	0.02	0	0
Q20251110170052	5	5	0	0.02	0	0
Q20251110170104	5	5	0	0.02	0	0
Q20251110170059	5	5	0	0.02	0	0
Q20251110170110	5	5	0	0.02	0	0
Q20251110170116	5	5	0	0.02	0	0
Q20251110170124	5	5	0	0.02	0	0
Q20251110170131	5	5	0	0.02	0	0
Q20251110170139	5	5	0	0.02	0	0
Q20251110170144	5	5	0	0.02	0	0
Q20251110170153	5	5	0	0.02	0	0
Q20251110170158	5	5	0	0.02	0	0
Q20251110170232	5	5	0	0.02	0	0
Q20251110170237	5	5	0	0.02	0	0
