time_h,depth_0_m,depth_71_m,depth_89_m,depth_194_m,depth_287_m,depth_383_m,depth_456_m,water_level_0_m,water_level_71_m,water_level_89_m,water_level_194_m,water_level_287_m,water_level_383_m,water_level_456_m
0.000000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,93.712000,92.523086,92.380163,90.712000,90.612000,90.098370,89.342000
0.166667,0.147506,0.123174,0.098685,0.146496,0.030750,0.080073,0.254747,93.779506,92.566259,92.398848,90.778496,90.562750,90.098443,89.516747
0.333333,0.547070,0.338727,0.228466,0.167635,0.030011,0.080185,0.233382,94.179070,92.781812,92.528629,90.799635,90.562011,90.098555,89.495382
0.500000,0.952259,0.633828,0.464892,0.178116,0.030000,0.080355,0.202333,94.584259,93.076914,92.765055,90.810116,90.562000,90.098724,89.464333
0.666667,1.240940,0.888334,0.674445,0.225049,0.030000,0.080556,0.175126,94.872940,93.331420,92.974608,90.857049,90.562000,90.098926,89.437126
0.833333,1.469021,1.075339,0.848830,0.369958,0.030000,0.080790,0.153877,95.101021,93.518425,93.148993,91.001958,90.562000,90.099159,89.415877
1.000000,1.638536,1.223841,0.973595,0.497654,0.030000,0.081037,0.134355,95.270536,93.666927,93.273758,91.129654,90.562000,90.099406,89.396355
1.166667,1.766815,1.353876,1.085027,0.624394,0.030000,0.081293,0.127057,95.398815,93.796962,93.385190,91.256394,90.562000,90.099662,89.389057
1.333333,1.864048,1.465796,1.185378,0.747364,0.033749,0.081557,0.112217,95.496048,93.908882,93.485541,91.379364,90.565749,90.099926,89.374217
1.500000,1.937312,1.561026,1.275117,0.864469,0.066515,0.081826,0.111267,95.569312,94.004111,93.575280,91.496469,90.598515,90.100196,89.373267
1.666667,1.992649,1.641247,1.353890,0.966570,0.095531,0.082106,0.099613,95.624649,94.084333,93.654054,91.598570,90.627531,90.100475,89.361613
1.833333,2.034461,1.708205,1.422145,1.065018,0.144638,0.082415,0.099738,95.666461,94.151291,93.722308,91.697018,90.676638,90.100785,89.361738
2.000000,2.066153,1.763696,1.480557,1.159291,0.209039,0.082876,0.090448,95.698153,94.206781,93.780720,91.791291,90.741039,90.101246,89.352448
2.166667,2.090258,1.809401,1.530025,1.248821,0.283165,0.084117,0.090138,95.722258,94.252486,93.830188,91.880821,90.815165,90.102487,89.352138
2.333333,2.108660,1.846852,1.571557,1.333072,0.363796,0.088989,0.083141,95.740660,94.289937,93.871720,91.965072,90.895796,90.107359,89.345141
2.500000,2.122761,1.877410,1.606188,1.411695,0.448694,0.104898,0.082464,95.754761,94.320496,93.906351,92.043695,90.980694,90.123267,89.344464
2.666667,2.133605,1.902264,1.634913,1.484555,0.535965,0.135799,0.077368,95.765605,94.345350,93.935076,92.116555,91.067965,90.154168,89.339368
2.833333,2.141976,1.922432,1.658652,1.551694,0.623909,0.177087,0.076433,95.773976,94.365517,93.958815,92.183694,91.155909,90.195456,89.338433
3.000000,2.148460,1.938773,1.678226,1.613289,0.711024,0.225618,0.072826,95.780460,94.381858,93.978389,92.245289,91.243024,90.243988,89.334826
3.166667,2.153505,1.952003,1.694363,1.670409,0.796133,0.280779,0.072001,95.785505,94.395088,93.994526,92.302409,91.328133,90.299149,89.334001
3.333333,2.157450,1.962747,1.707728,1.723001,0.866215,0.338794,0.080913,95.789450,94.405832,94.007891,92.355001,91.398215,90.357163,89.342913
3.500000,2.160537,1.971477,1.718805,1.770952,0.925320,0.400733,0.103799,95.792537,94.414563,94.018969,92.402952,91.457320,90.419103,89.365799
3.666667,2.162964,1.978585,1.728000,1.814265,0.981381,0.465790,0.160604,95.794964,94.421671,94.028163,92.446265,91.513381,90.484160,89.422604
3.833333,2.164879,1.984387,1.735655,1.854188,1.034147,0.531902,0.280238,95.796879,94.427473,94.035818,92.486188,91.566147,90.550272,89.542238
4.000000,2.166400,1.989146,1.742068,1.891232,1.083668,0.595697,0.316284,95.798400,94.432232,94.042231,92.523232,91.615668,90.614066,89.578284
4.166667,2.167611,1.993069,1.747472,1.924147,1.129919,0.658002,0.401929,95.799611,94.436155,94.047635,92.556147,91.661919,90.676372,89.663929
4.333333,2.168583,1.996321,1.752051,1.953454,1.172760,0.717735,0.458545,95.800583,94.439406,94.052214,92.585454,91.704760,90.736105,89.720545
4.500000,2.169365,1.999031,1.755951,1.979600,1.212242,0.775218,0.511685,95.801365,94.442116,94.056114,92.611600,91.744242,90.793588,89.773685
4.666667,2.170000,2.001303,1.759293,2.002949,1.248395,0.827437,0.559765,95.802000,94.444389,94.059456,92.634949,91.780395,90.845807,89.821765
4.833333,2.170519,2.003219,1.762172,2.023818,1.281472,0.871839,0.608262,95.802519,94.446305,94.062335,92.655818,91.813472,90.890208,89.870262
5.000000,2.170944,2.004846,1.764665,2.042484,1.311631,0.914098,0.654865,95.802944,94.447931,94.064828,92.674484,91.843631,90.932468,89.916865
5.166667,2.175432,2.090669,1.833379,2.065069,1.339801,0.953976,0.699510,95.807432,94.533755,94.133542,92.697069,91.871801,90.972345,89.961510
5.333333,2.182246,2.162970,1.902335,2.095165,1.367841,0.991742,0.742463,95.814246,94.606055,94.202498,92.727165,91.899841,91.010111,90.004463
5.500000,2.189840,2.207275,1.949987,2.130604,1.397424,1.029878,0.784286,95.821840,94.650361,94.250150,92.762604,91.929424,91.048247,90.046286
5.666667,2.197084,2.238545,1.984544,2.167843,1.428758,1.067037,0.825504,95.829084,94.681631,94.284707,92.799843,91.960758,91.085406,90.087504
5.833333,2.203477,2.262414,2.011209,2.204456,1.461342,1.103292,0.866169,95.835477,94.705499,94.311372,92.836456,91.993342,91.121661,90.128169
6.000000,2.208937,2.281210,2.032464,2.239202,1.494452,1.138880,0.906242,95.840937,94.724296,94.332627,92.871202,92.026452,91.157249,90.168242
6.166667,2.213542,2.296238,2.049695,2.271549,1.527406,1.175674,0.946087,95.845542,94.739324,94.349858,92.903549,92.059406,91.194043,90.208087
6.333333,2.217453,2.308791,2.064916,2.308394,1.560777,1.213386,0.986086,95.849453,94.751877,94.365079,92.940394,92.092777,91.231755,90.248086
6.500000,2.225781,2.324671,2.104609,2.356917,1.597669,1.251265,1.027359,95.857781,94.767757,94.404772,92.988917,92.129669,91.269634,90.289359
6.666667,2.234369,2.373713,2.205105,2.416959,1.639148,1.289168,1.068496,95.866369,94.816798,94.505268,93.048959,92.171148,91.307538,90.330496
6.833333,2.239405,2.421893,2.274651,2.474588,1.682779,1.326321,1.108249,95.871405,94.864979,94.574815,93.106588,92.214779,91.344690,90.370249
7.000000,2.247974,2.458535,2.322422,2.534214,1.730654,1.364788,1.148547,95.879974,94.901621,94.622585,93.166214,92.262654,91.383158,90.410547
7.166667,2.257109,2.487638,2.359311,2.591115,1.780457,1.404844,1.189685,95.889109,94.930724,94.659474,93.223115,92.312457,91.423213,90.451685
7.333333,2.267544,2.506041,2.384372,2.659893,1.834763,1.446996,1.232206,95.899544,94.949126,94.684535,93.291893,92.366763,91.465366,90.494206
7.500000,2.275315,2.524424,2.407911,2.731455,1.893226,1.491675,1.276676,95.907315,94.967510,94.708074,93.363455,92.425226,91.510045,90.538676
7.666667,2.281964,2.541032,2.429031,2.788947,1.951689,1.538628,1.323365,95.913964,94.984117,94.729194,93.420947,92.483689,91.556997,90.585365
7.833333,2.287815,2.555811,2.447743,2.838895,2.007814,1.587120,1.372183,95.919815,94.998896,94.747906,93.470895,92.539814,91.605490,90.634183
8.000000,2.293011,2.568944,2.464314,2.882998,2.060610,1.636226,1.422629,95.925011,95.012030,94.764477,93.514998,92.592610,91.654595,90.684629
8.166667,2.297646,2.580641,2.479040,2.922223,2.109739,1.685065,1.473948,95.929646,95.023727,94.779203,93.554223,92.641739,91.703435,90.735948
8.333333,2.301796,2.591093,2.492181,2.957263,2.155156,1.732906,1.525306,95.933796,95.034179,94.792344,93.589263,92.687156,91.751275,90.787306
8.500000,2.305524,2.600465,2.503956,2.988666,2.196961,1.779180,1.575923,95.937524,95.043551,94.804119,93.620666,92.728961,91.797549,90.837923
8.666667,2.308884,2.608897,2.514546,3.016881,2.235330,1.823472,1.625143,95.940884,95.051983,94.814709,93.648881,92.767330,91.841842,90.887143
