node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
0,0.000000,1.986214,14.000000,3.456000,3.840000,False,False
1,0.043670,2.024372,14.000000,3.456000,3.840000,False,False
2,0.087341,2.051522,14.000000,3.456000,3.840000,False,False
3,0.131011,2.079302,14.000000,3.456000,3.840000,False,False
4,0.174682,2.107828,14.000000,3.456000,3.840000,False,False
5,0.218352,2.137073,14.000000,3.456000,3.840000,False,False
6,0.262022,2.167011,14.000000,3.456000,3.840000,False,False
7,0.305693,2.197614,14.000000,3.456000,3.840000,False,False
8,0.349363,2.228855,14.000000,3.456000,3.840000,False,False
9,0.393034,2.260712,14.000000,3.456000,3.840000,False,False
10,0.436704,2.294730,14.000000,3.456000,3.840000,False,False
11,0.491674,2.325719,14.000000,3.456000,3.840000,False,False
12,0.535345,2.339673,14.000000,3.456000,3.840000,False,False
13,0.579015,2.341411,14.000000,3.456000,3.840000,False,False
14,0.622686,2.343135,14.000000,3.456000,3.840000,False,False
15,0.666356,2.344888,14.000000,3.456000,3.840000,False,False
16,0.710026,2.346671,14.000000,3.456000,3.840000,False,False
17,0.753697,2.348484,14.000000,3.456000,3.840000,False,False
18,0.797367,2.350328,14.000000,3.456000,3.840000,False,False
19,0.841038,2.352202,14.000000,3.456000,3.840000,False,False
20,0.884708,2.354107,14.000000,3.456000,3.840000,False,False
21,0.928379,2.356044,14.000000,3.456000,3.840000,False,False
22,0.972049,2.358013,14.000000,3.456000,3.840000,False,False
23,1.015719,2.360014,14.000000,3.456000,3.840000,False,False
24,1.059390,2.362048,14.000000,3.456000,3.840000,False,False
25,1.103060,2.364115,14.000000,3.456000,3.840000,False,False
26,1.146731,2.366216,14.000000,3.456000,3.840000,False,False
27,1.190401,2.368351,14.000000,3.456000,3.840000,False,False
28,1.234072,2.370520,14.000000,3.456000,3.840000,False,False
29,1.277742,2.372725,14.000000,3.456000,3.840000,False,False
30,1.321412,2.374964,14.000000,3.456000,3.840000,False,False
31,1.365083,2.377239,14.000000,3.456000,3.840000,False,False
32,1.408753,2.379658,14.000000,3.456000,3.840000,False,False
33,1.462910,2.382333,14.000000,3.456000,3.840000,False,False
34,1.506580,2.385066,14.000000,3.456000,3.840000,False,False
35,1.550250,2.387747,14.000000,3.456000,3.840000,False,False
36,1.593921,2.390469,14.000000,3.456000,3.840000,False,False
37,1.637591,2.393234,14.000000,3.456000,3.840000,False,False
38,1.681262,2.396041,14.000000,3.456000,3.840000,False,False
39,1.724932,2.398891,14.000000,3.456000,3.840000,False,False
40,1.768603,2.401784,14.000000,3.456000,3.840000,False,False
41,1.812273,2.404721,14.000000,3.456000,3.840000,False,False
42,1.855943,2.407703,14.000000,3.456000,3.840000,False,False
43,1.899614,2.410729,14.000000,3.456000,3.840000,False,False
44,1.943284,2.413800,14.000000,3.456000,3.840000,False,False
45,1.986955,2.416917,14.000000,3.456000,3.840000,False,False
46,2.030625,2.420079,14.000000,3.456000,3.840000,False,False
47,2.074296,2.423079,14.000000,3.456000,3.840000,False,False
48,2.103414,2.424669,14.000000,3.456000,3.840000,False,False
49,2.147084,2.423635,14.000000,3.456000,3.840000,False,False
50,2.190755,2.421186,14.000000,3.456000,3.840000,False,False
51,2.234425,2.418701,14.000000,3.456000,3.840000,False,False
52,2.278095,2.416179,14.000000,3.456000,3.840000,False,False
53,2.321766,2.413620,14.000000,3.456000,3.840000,False,False
54,2.365436,2.411024,14.000000,3.456000,3.840000,False,False
55,2.409107,2.408389,14.000000,3.456000,3.840000,False,False
56,2.452777,2.405715,14.000000,3.456000,3.840000,False,False
57,2.496448,2.403001,14.000000,3.456000,3.840000,False,False
58,2.540118,2.400246,14.000000,3.456000,3.840000,False,False
59,2.583788,2.397449,14.000000,3.456000,3.840000,False,False
60,2.627459,2.394609,14.000000,3.456000,3.840000,False,False
61,2.671129,2.391727,14.000000,3.456000,3.840000,False,False
62,2.714800,2.388800,14.000000,3.456000,3.840000,False,False
63,2.758470,2.385827,14.000000,3.456000,3.840000,False,False
64,2.802141,2.382809,14.000000,3.456000,3.840000,False,False
65,2.845811,2.379743,14.000000,3.456000,3.840000,False,False
66,2.889481,2.376629,14.000000,3.456000,3.840000,False,False
67,2.933152,2.373466,14.000000,3.456000,3.840000,False,False
68,2.976822,2.370253,14.000000,3.456000,3.840000,False,False
69,3.020493,2.366988,14.000000,3.456000,3.840000,False,False
70,3.064163,2.363563,14.000000,3.456000,3.840000,False,False
71,3.115134,2.359910,14.000000,3.456000,3.840000,False,False
72,3.158804,2.356293,14.000000,3.456000,3.840000,False,False
73,3.202475,2.352781,14.000000,3.456000,3.840000,False,False
74,3.246145,2.349212,14.000000,3.456000,3.840000,False,False
75,3.289815,2.345582,14.000000,3.456000,3.840000,False,False
76,3.333486,2.341892,14.000000,3.456000,3.840000,False,False
77,3.377156,2.338140,14.000000,3.456000,3.840000,False,False
78,3.420827,2.334324,14.000000,3.456000,3.840000,False,False
79,3.464497,2.330443,14.000000,3.456000,3.840000,False,False
80,3.508168,2.326494,14.000000,3.456000,3.840000,False,False
81,3.551838,2.322478,14.000000,3.456000,3.840000,False,False
82,3.595509,2.318390,14.000000,3.456000,3.840000,False,False
83,3.639179,2.314231,14.000000,3.456000,3.840000,False,False
84,3.682849,2.309997,14.000000,3.456000,3.840000,False,False
85,3.726520,2.305688,14.000000,3.456000,3.840000,False,False
86,3.770190,2.301301,14.000000,3.456000,3.840000,False,False
87,3.813861,2.296833,14.000000,3.456000,3.840000,False,False
88,3.857531,2.292661,14.000000,3.456000,3.840000,False,False
89,3.882364,2.289038,14.000000,3.456000,3.840000,False,False
90,3.926034,2.285024,14.000000,3.456000,3.840000,False,False
91,3.969705,2.280356,14.000000,3.456000,3.840000,False,False
92,4.013375,2.275599,14.000000,3.456000,3.840000,False,False
93,4.057046,2.270751,14.000000,3.456000,3.840000,False,False
94,4.100716,2.265808,14.000000,3.456000,3.840000,False,False
95,4.144387,2.260770,14.000000,3.456000,3.840000,False,False
96,4.188057,2.255631,14.000000,3.456000,3.840000,False,False
97,4.231727,2.250390,14.000000,3.456000,3.840000,False,False
98,4.275398,2.245044,14.000000,3.456000,3.840000,False,False
99,4.319068,2.239589,14.000000,3.456000,3.840000,False,False
100,4.362739,2.234021,14.000000,3.456000,3.840000,False,False
101,4.406409,2.228337,14.000000,3.456000,3.840000,False,False
102,4.450080,2.222533,14.000000,3.456000,3.840000,False,False
103,4.493750,2.216606,14.000000,3.456000,3.840000,False,False
104,4.537420,2.210551,14.000000,3.456000,3.840000,False,False
105,4.581091,2.204364,14.000000,3.456000,3.840000,False,False
106,4.624761,2.198039,14.000000,3.456000,3.840000,False,False
107,4.668432,2.191573,14.000000,3.456000,3.840000,False,False
108,4.712102,2.184435,14.000000,3.456000,3.840000,False,False
109,4.774321,2.180080,14.000000,3.456000,3.840000,False,False
110,4.817992,2.186344,14.000000,3.456000,3.840000,False,False
111,4.861662,2.200049,14.000000,3.456000,3.840000,False,False
112,4.905332,2.214063,14.000000,3.456000,3.840000,False,False
113,4.949003,2.228370,14.000000,3.456000,3.840000,False,False
114,4.992673,2.242969,14.000000,3.456000,3.840000,False,False
115,5.036344,2.257857,14.000000,3.456000,3.840000,False,False
116,5.080014,2.273030,14.000000,3.456000,3.840000,False,False
117,5.123684,2.288487,14.000000,3.456000,3.840000,False,False
118,5.167355,2.304222,14.000000,3.456000,3.840000,False,False
119,5.211025,2.320234,14.000000,3.456000,3.840000,False,False
120,5.254696,2.336517,14.000000,3.456000,3.840000,False,False
121,5.298366,2.353068,14.000000,3.456000,3.840000,False,False
122,5.342037,2.369883,14.000000,3.456000,3.840000,False,False
123,5.385707,2.386958,14.000000,3.456000,3.840000,False,False
124,5.429377,2.404288,14.000000,3.456000,3.840000,False,False
125,5.473048,2.421869,14.000000,3.456000,3.840000,False,False
126,5.516718,2.439660,14.000000,3.456000,3.840000,False,False
127,5.559960,2.456422,14.000000,3.456000,3.840000,False,False
128,5.603630,2.470371,14.000000,3.456000,3.840000,False,False
129,5.647300,2.482700,14.000000,3.456000,3.840000,False,False
130,5.690971,2.495180,14.000000,3.456000,3.840000,False,False
131,5.734641,2.507816,14.000000,3.456000,3.840000,False,False
132,5.778312,2.520606,14.000000,3.456000,3.840000,False,False
133,5.821982,2.533548,14.000000,3.456000,3.840000,False,False
