time_h,head_inflow_m3s,Qdiv_71_m3s,Qdiv_89_m3s,Qdiv_150_m3s,Qdiv_194_m3s,Qdiv_287_m3s,Qdiv_349_m3s,Qdiv_383_m3s,supplied_71_m3,supplied_89_m3,supplied_150_m3,supplied_194_m3,supplied_287_m3,supplied_349_m3,supplied_383_m3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.016667,0.219124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.033333,0.874096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.050000,1.957739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.066667,3.458182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.083333,5.358984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.100000,7.639320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.116667,10.274207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.133333,13.234776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.150000,16.488590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.166667,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.183333,23.730534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.200000,27.639320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.216667,31.683532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.233333,35.818861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.250000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.266667,44.181139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.283333,48.316468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.300000,52.360680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.316667,56.269466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.333333,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.350000,63.511410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.366667,66.765224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.383333,69.725793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.400000,72.360680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.416667,74.641016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.433333,76.541818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.450000,78.042261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.466667,79.125904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.483333,79.780876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.500000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.516667,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.533333,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.550000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.566667,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.583333,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.600000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.616667,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.633333,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.650000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.666667,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.683333,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.700000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.716667,80.000000,3.754914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.998,0.000,0.000,0.000,0.000,0.000,0.000
0.733333,80.000000,5.541896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,411.452,0.000,0.000,0.000,0.000,0.000,0.000
0.750000,80.000000,6.812886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,784.527,0.000,0.000,0.000,0.000,0.000,0.000
0.766667,80.000000,7.801600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1224.554,0.000,0.000,0.000,0.000,0.000,0.000
0.783333,80.000000,8.608437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1718.007,0.000,0.000,0.000,0.000,0.000,0.000
0.800000,80.000000,9.287127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2255.759,0.000,0.000,0.000,0.000,0.000,0.000
0.816667,80.000000,9.870210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2831.187,0.000,0.000,0.000,0.000,0.000,0.000
0.833333,80.000000,10.379091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3439.250,0.000,0.000,0.000,0.000,0.000,0.000
0.850000,80.000000,10.828733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4075.975,0.000,0.000,0.000,0.000,0.000,0.000
0.866667,80.000000,11.230101,1.285695,0.000000,0.000000,0.000000,0.000000,0.000000,4738.159,9.520,0.000,0.000,0.000,0.000,0.000
0.883333,80.000000,11.591418,3.367024,0.000000,0.000000,0.000000,0.000000,0.000000,5423.169,157.194,0.000,0.000,0.000,0.000,0.000
0.900000,80.000000,11.918839,4.666703,0.000000,0.000000,0.000000,0.000000,0.000000,6128.797,401.050,0.000,0.000,0.000,0.000,0.000
0.916667,80.000000,12.216981,5.640285,0.000000,0.000000,0.000000,0.000000,0.000000,6853.158,711.940,0.000,0.000,0.000,0.000,0.000
0.933333,80.000000,12.488347,6.422034,0.000000,0.000000,0.000000,0.000000,0.000000,7594.587,1074.965,0.000,0.000,0.000,0.000,0.000
0.950000,80.000000,12.732341,7.074981,0.000000,0.000000,0.000000,0.000000,0.000000,8351.469,1480.742,0.000,0.000,0.000,0.000,0.000
0.966667,80.000000,12.949063,7.634379,0.000000,0.000000,0.000000,0.000000,0.000000,9122.149,1922.706,0.000,0.000,0.000,0.000,0.000
0.983333,80.000000,13.142083,8.122283,0.000000,0.000000,0.000000,0.000000,0.000000,9905.087,2395.965,0.000,0.000,0.000,0.000,0.000
1.000000,80.000000,13.315901,8.553549,0.000000,0.000000,0.000000,0.000000,0.000000,10699.000,2896.710,0.000,0.000,0.000,0.000,0.000
1.016667,80.000000,13.473939,8.938708,0.000000,0.000000,0.000000,0.000000,0.000000,11502.846,3421.879,0.000,0.000,0.000,0.000,0.000
1.033333,80.000000,13.618566,9.285519,0.000000,0.000000,0.000000,0.000000,0.000000,12315.756,3968.955,0.000,0.000,0.000,0.000,0.000
1.050000,80.000000,13.751558,9.599865,0.000000,0.000000,0.000000,0.000000,0.000000,13136.980,4535.823,0.000,0.000,0.000,0.000,0.000
1.066667,80.000000,13.874339,9.886318,0.000000,0.000000,0.000000,0.000000,0.000000,13965.867,5120.682,0.000,0.000,0.000,0.000,0.000
1.083333,80.000000,13.988088,10.148513,0.000000,0.000000,0.000000,0.000000,0.000000,14801.839,5721.971,0.000,0.000,0.000,0.000,0.000
1.100000,80.000000,14.093790,10.389346,0.000000,0.000000,0.000000,0.000000,0.000000,15644.386,6338.328,0.000,0.000,0.000,0.000,0.000
1.116667,80.000000,14.192278,10.611102,0.000000,0.000000,0.000000,0.000000,0.000000,16493.051,6968.543,0.000,0.000,0.000,0.000,0.000
1.133333,80.000000,14.284255,10.815645,0.000000,0.000000,0.000000,0.000000,0.000000,17347.424,7611.529,0.000,0.000,0.000,0.000,0.000
1.150000,80.000000,14.370323,11.004527,0.000000,0.000000,0.000000,0.000000,0.000000,18207.133,8266.304,0.000,0.000,0.000,0.000,0.000
1.166667,80.000000,14.450996,11.179021,0.000000,0.000000,0.000000,0.000000,0.000000,19071.839,8931.966,0.000,0.000,0.000,0.000,0.000
1.183333,80.000000,14.526714,11.340389,0.000000,0.000000,0.000000,0.000000,0.000000,19941.232,9607.692,0.000,0.000,0.000,0.000,0.000
1.200000,80.000000,14.597864,11.489794,0.000000,0.000000,0.000000,0.000000,0.000000,20815.026,10292.729,0.000,0.000,0.000,0.000,0.000
1.216667,80.000000,14.664771,11.628301,0.000000,0.000000,0.000000,0.000000,0.000000,21692.959,10986.393,0.000,0.000,0.000,0.000,0.000
1.233333,80.000000,14.727696,11.756873,0.000000,0.000000,0.000000,0.000000,0.000000,22574.784,11688.060,0.000,0.000,0.000,0.000,0.000
1.250000,80.000000,14.786894,11.876379,0.000000,0.000000,0.000000,0.000000,0.000000,23460.270,12397.160,0.000,0.000,0.000,0.000,0.000
1.266667,80.000000,14.842598,11.987599,0.000000,0.000000,0.000000,0.000000,0.000000,24349.199,13113.175,0.000,0.000,0.000,0.000,0.000
1.283333,80.000000,14.895028,12.091232,0.000000,0.000000,0.000000,0.000000,0.000000,25241.370,13835.628,0.000,0.000,0.000,0.000,0.000
