node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
0,0.000000,2.359431,14.000000,3.456000,3.840000,False,False
-1000000,0.001000,2.360047,14.000000,3.456000,3.840000,False,False
-1000001,0.002000,2.360663,14.000000,3.456000,3.840000,False,False
-1000002,0.003000,2.361280,14.000000,3.456000,3.840000,False,False
-1000003,0.004000,2.361897,14.000000,3.456000,3.840000,False,False
-1000004,0.005000,2.362515,14.000000,3.456000,3.840000,False,False
-1000005,0.006000,2.363132,14.000000,3.456000,3.840000,False,False
-1000006,0.007000,2.363750,14.000000,3.456000,3.840000,False,False
-1000007,0.008000,2.364369,14.000000,3.456000,3.840000,False,False
-1000008,0.009000,2.364988,14.000000,3.456000,3.840000,False,False
-1000009,0.010000,2.365607,14.000000,3.456000,3.840000,False,False
-1000010,0.011000,2.366226,14.000000,3.456000,3.840000,False,False
-1000011,0.012000,2.366846,14.000000,3.456000,3.840000,False,False
-1000012,0.013000,2.367466,14.000000,3.456000,3.840000,False,False
-1000013,0.014000,2.368086,14.000000,3.456000,3.840000,False,False
-1000014,0.015000,2.368707,14.000000,3.456000,3.840000,False,False
-1000015,0.016000,2.369328,14.000000,3.456000,3.840000,False,False
-1000016,0.017000,2.369950,14.000000,3.456000,3.840000,False,False
-1000017,0.018000,2.370571,14.000000,3.456000,3.840000,False,False
-1000018,0.019000,2.371193,14.000000,3.456000,3.840000,False,False
-1000019,0.020000,2.371816,14.000000,3.456000,3.840000,False,False
-1000020,0.021000,2.372439,14.000000,3.456000,3.840000,False,False
-1000021,0.022000,2.373062,14.000000,3.456000,3.840000,False,False
-1000022,0.023000,2.373685,14.000000,3.456000,3.840000,False,False
-1000023,0.024000,2.374309,14.000000,3.456000,3.840000,False,False
-1000024,0.025000,2.374933,14.000000,3.456000,3.840000,False,False
-1000025,0.026000,2.375557,14.000000,3.456000,3.840000,False,False
-1000026,0.027000,2.376182,14.000000,3.456000,3.840000,False,False
-1000027,0.028000,2.376807,14.000000,3.456000,3.840000,False,False
-1000028,0.029000,2.377432,14.000000,3.456000,3.840000,False,False
-1000029,0.030000,2.378058,14.000000,3.456000,3.840000,False,False
-1000030,0.031000,2.378684,14.000000,3.456000,3.840000,False,False
-1000031,0.032000,2.379311,14.000000,3.456000,3.840000,False,False
-1000032,0.033000,2.379937,14.000000,3.456000,3.840000,False,False
-1000033,0.034000,2.380564,14.000000,3.456000,3.840000,False,False
-1000034,0.035000,2.381192,14.000000,3.456000,3.840000,False,False
-1000035,0.036000,2.381819,14.000000,3.456000,3.840000,False,False
-1000036,0.037000,2.382447,14.000000,3.456000,3.840000,False,False
-1000037,0.038000,2.383076,14.000000,3.456000,3.840000,False,False
-1000038,0.039000,2.383704,14.000000,3.456000,3.840000,False,False
-1000039,0.040000,2.384333,14.000000,3.456000,3.840000,False,False
-1000040,0.041000,2.384963,14.000000,3.456000,3.840000,False,False
-1000041,0.042000,2.385592,14.000000,3.456000,3.840000,False,False
-1000042,0.043000,2.386222,14.000000,3.456000,3.840000,False,False
1,0.043670,2.386645,14.000000,3.456000,3.840000,False,False
-1000043,0.044000,2.386853,14.000000,3.456000,3.840000,False,False
-1000044,0.045000,2.387483,14.000000,3.456000,3.840000,False,False
-1000045,0.046000,2.388114,14.000000,3.456000,3.840000,False,False
-1000046,0.047000,2.388746,14.000000,3.456000,3.840000,False,False
-1000047,0.048000,2.389377,14.000000,3.456000,3.840000,False,False
-1000048,0.049000,2.390009,14.000000,3.456000,3.840000,False,False
-1000049,0.050000,2.390642,14.000000,3.456000,3.840000,False,False
-1000050,0.051000,2.391274,14.000000,3.456000,3.840000,False,False
-1000051,0.052000,2.391907,14.000000,3.456000,3.840000,False,False
-1000052,0.053000,2.392540,14.000000,3.456000,3.840000,False,False
-1000053,0.054000,2.393174,14.000000,3.456000,3.840000,False,False
-1000054,0.055000,2.393808,14.000000,3.456000,3.840000,False,False
-1000055,0.056000,2.394442,14.000000,3.456000,3.840000,False,False
-1000056,0.057000,2.395077,14.000000,3.456000,3.840000,False,False
-1000057,0.058000,2.395712,14.000000,3.456000,3.840000,False,False
-1000058,0.059000,2.396347,14.000000,3.456000,3.840000,False,False
-1000059,0.060000,2.396982,14.000000,3.456000,3.840000,False,False
-1000060,0.061000,2.397618,14.000000,3.456000,3.840000,False,False
-1000061,0.062000,2.398254,14.000000,3.456000,3.840000,False,False
-1000062,0.063000,2.398891,14.000000,3.456000,3.840000,False,False
-1000063,0.064000,2.399528,14.000000,3.456000,3.840000,False,False
-1000064,0.065000,2.400165,14.000000,3.456000,3.840000,False,False
-1000065,0.066000,2.400802,14.000000,3.456000,3.840000,False,False
-1000066,0.067000,2.401440,14.000000,3.456000,3.840000,False,False
-1000067,0.068000,2.402078,14.000000,3.456000,3.840000,False,False
-1000068,0.069000,2.402717,14.000000,3.456000,3.840000,False,False
-1000069,0.070000,2.403356,14.000000,3.456000,3.840000,False,False
-1000070,0.071000,2.403995,14.000000,3.456000,3.840000,False,False
-1000071,0.072000,2.404634,14.000000,3.456000,3.840000,False,False
-1000072,0.073000,2.405274,14.000000,3.456000,3.840000,False,False
-1000073,0.074000,2.405914,14.000000,3.456000,3.840000,False,False
-1000074,0.075000,2.406554,14.000000,3.456000,3.840000,False,False
-1000075,0.076000,2.407195,14.000000,3.456000,3.840000,False,False
-1000076,0.077000,2.407836,14.000000,3.456000,3.840000,False,False
-1000077,0.078000,2.408477,14.000000,3.456000,3.840000,False,False
-1000078,0.079000,2.409119,14.000000,3.456000,3.840000,False,False
-1000079,0.080000,2.409761,14.000000,3.456000,3.840000,False,False
-1000080,0.081000,2.410403,14.000000,3.456000,3.840000,False,False
-1000081,0.082000,2.411046,14.000000,3.456000,3.840000,False,False
-1000082,0.083000,2.411689,14.000000,3.456000,3.840000,False,False
-1000083,0.084000,2.412332,14.000000,3.456000,3.840000,False,False
-1000084,0.085000,2.412976,14.000000,3.456000,3.840000,False,False
-1000085,0.086000,2.413620,14.000000,3.456000,3.840000,False,False
-1000086,0.087000,2.414264,14.000000,3.456000,3.840000,False,False
2,0.087341,2.414484,14.000000,3.456000,3.840000,False,False
-1000087,0.088000,2.414909,14.000000,3.456000,3.840000,False,False
-1000088,0.089000,2.415553,14.000000,3.456000,3.840000,False,False
-1000089,0.090000,2.416199,14.000000,3.456000,3.840000,False,False
-1000090,0.091000,2.416844,14.000000,3.456000,3.840000,False,False
-1000091,0.092000,2.417490,14.000000,3.456000,3.840000,False,False
-1000092,0.093000,2.418136,14.000000,3.456000,3.840000,False,False
-1000093,0.094000,2.418783,14.000000,3.456000,3.840000,False,False
-1000094,0.095000,2.419429,14.000000,3.456000,3.840000,False,False
-1000095,0.096000,2.420076,14.000000,3.456000,3.840000,False,False
-1000096,0.097000,2.420724,14.000000,3.456000,3.840000,False,False
-1000097,0.098000,2.421372,14.000000,3.456000,3.840000,False,False
-1000098,0.099000,2.422020,14.000000,3.456000,3.840000,False,False
-1000099,0.100000,2.422668,14.000000,3.456000,3.840000,False,False
-1000100,0.101000,2.423317,14.000000,3.456000,3.840000,False,False
-1000101,0.102000,2.423966,14.000000,3.456000,3.840000,False,False
-1000102,0.103000,2.424615,14.000000,3.456000,3.840000,False,False
-1000103,0.104000,2.425265,14.000000,3.456000,3.840000,False,False
-1000104,0.105000,2.425914,14.000000,3.456000,3.840000,False,False
-1000105,0.106000,2.426565,14.000000,3.456000,3.840000,False,False
-1000106,0.107000,2.427215,14.000000,3.456000,3.840000,False,False
-1000107,0.108000,2.427866,14.000000,3.456000,3.840000,False,False
-1000108,0.109000,2.428517,14.000000,3.456000,3.840000,False,False
-1000109,0.110000,2.429169,14.000000,3.456000,3.840000,False,False
-1000110,0.111000,2.429821,14.000000,3.456000,3.840000,False,False
-1000111,0.112000,2.430473,14.000000,3.456000,3.840000,False,False
-1000112,0.113000,2.431125,14.000000,3.456000,3.840000,False,False
-1000113,0.114000,2.431778,14.000000,3.456000,3.840000,False,False
-1000114,0.115000,2.432431,14.000000,3.456000,3.840000,False,False
-1000115,0.116000,2.433085,14.000000,3.456000,3.840000,False,False
-1000116,0.117000,2.433738,14.000000,3.456000,3.840000,False,False
-1000117,0.118000,2.434392,14.000000,3.456000,3.840000,False,False
-1000118,0.119000,2.435047,14.000000,3.456000,3.840000,False,False
-1000119,0.120000,2.435701,14.000000,3.456000,3.840000,False,False
-1000120,0.121000,2.436356,14.000000,3.456000,3.840000,False,False
-1000121,0.122000,2.437011,14.000000,3.456000,3.840000,False,False
-1000122,0.123000,2.437667,14.000000,3.456000,3.840000,False,False
-1000123,0.124000,2.438323,14.000000,3.456000,3.840000,False,False
-1000124,0.125000,2.438979,14.000000,3.456000,3.840000,False,False
-1000125,0.126000,2.439636,14.000000,3.456000,3.840000,False,False
-1000126,0.127000,2.440293,14.000000,3.456000,3.840000,False,False
-1000127,0.128000,2.440950,14.000000,3.456000,3.840000,False,False
-1000128,0.129000,2.441607,14.000000,3.456000,3.840000,False,False
-1000129,0.130000,2.442265,14.000000,3.456000,3.840000,False,False
3,0.131011,2.442930,14.000000,3.456000,3.840000,False,False
-1000130,0.132000,2.443581,14.000000,3.456000,3.840000,False,False
-1000131,0.133000,2.444240,14.000000,3.456000,3.840000,False,False
-1000132,0.134000,2.444899,14.000000,3.456000,3.840000,False,False
-1000133,0.135000,2.445558,14.000000,3.456000,3.840000,False,False
-1000134,0.136000,2.446218,14.000000,3.456000,3.840000,False,False
-1000135,0.137000,2.446878,14.000000,3.456000,3.840000,False,False
-1000136,0.138000,2.447538,14.000000,3.456000,3.840000,False,False
-1000137,0.139000,2.448199,14.000000,3.456000,3.840000,False,False
-1000138,0.140000,2.448859,14.000000,3.456000,3.840000,False,False
-1000139,0.141000,2.449521,14.000000,3.456000,3.840000,False,False
-1000140,0.142000,2.450182,14.000000,3.456000,3.840000,False,False
-1000141,0.143000,2.450844,14.000000,3.456000,3.840000,False,False
-1000142,0.144000,2.451506,14.000000,3.456000,3.840000,False,False
-1000143,0.145000,2.452168,14.000000,3.456000,3.840000,False,False
-1000144,0.146000,2.452831,14.000000,3.456000,3.840000,False,False
-1000145,0.147000,2.453494,14.000000,3.456000,3.840000,False,False
-1000146,0.148000,2.454157,14.000000,3.456000,3.840000,False,False
-1000147,0.149000,2.454821,14.000000,3.456000,3.840000,False,False
-1000148,0.150000,2.455485,14.000000,3.456000,3.840000,False,False
-1000149,0.151000,2.456149,14.000000,3.456000,3.840000,False,False
-1000150,0.152000,2.456814,14.000000,3.456000,3.840000,False,False
-1000151,0.153000,2.457479,14.000000,3.456000,3.840000,False,False
-1000152,0.154000,2.458144,14.000000,3.456000,3.840000,False,False
-1000153,0.155000,2.458809,14.000000,3.456000,3.840000,False,False
-1000154,0.156000,2.459475,14.000000,3.456000,3.840000,False,False
-1000155,0.157000,2.460141,14.000000,3.456000,3.840000,False,False
-1000156,0.158000,2.460807,14.000000,3.456000,3.840000,False,False
-1000157,0.159000,2.461474,14.000000,3.456000,3.840000,False,False
-1000158,0.160000,2.462141,14.000000,3.456000,3.840000,False,False
-1000159,0.161000,2.462808,14.000000,3.456000,3.840000,False,False
-1000160,0.162000,2.463476,14.000000,3.456000,3.840000,False,False
-1000161,0.163000,2.464144,14.000000,3.456000,3.840000,False,False
-1000162,0.164000,2.464812,14.000000,3.456000,3.840000,False,False
-1000163,0.165000,2.465480,14.000000,3.456000,3.840000,False,False
-1000164,0.166000,2.466149,14.000000,3.456000,3.840000,False,False
